test_case,prefill_lengths,batch_size,total_tokens,equivalent_length,actual_time_ms,estimated_time_ms,error_percent,abs_error_percent,test_type
29,"[1701, 1701, 1701, 1701]",4,6804,3402,2.4341333333333335,3.5364600000000004,45.28620727432078,45.28620727432078,mixed_batch
30,[5795],1,5795,5795,5.8162199999999995,5.8162199999999995,0.0,0.0,single_prefill
31,"[622, 622, 622, 622, 622, 622, 622, 622, 622, 622]",10,6220,1966,0.8602000000000001,1.7070599999999998,98.44919786096253,98.44919786096253,mixed_batch
32,"[2020, 2020, 2020, 2020]",4,8080,4040,2.5189666666666666,4.192480000000001,66.43650174013158,66.43650174013158,mixed_batch
33,"[1434, 1434, 1434, 1434]",4,5736,2868,1.7871,2.71216,51.76319176319176,51.76319176319176,mixed_batch
34,"[4681, 4681]",2,9362,6619,5.6978333333333335,6.82616,19.80273203264398,19.80273203264398,mixed_batch
35,[2517],1,2517,2517,2.19832,2.19832,0.0,0.0,single_prefill
36,[1407],1,1407,1407,1.1875399999999998,1.1875399999999998,0.0,0.0,single_prefill
37,"[466, 466, 466, 466, 466, 466, 466, 466, 466, 466, 466, 466]",12,5592,1614,0.8031333333333335,1.6088200000000001,100.31792147422594,100.31792147422594,mixed_batch
38,"[452, 452, 452, 452, 452, 452, 452, 452, 452, 452, 452, 452]",12,5424,1565,0.7881666666666667,1.56114,98.07231972932966,98.07231972932966,mixed_batch
39,"[2694, 2694, 2694, 2694]",4,10776,5388,4.243233333333334,5.337400000000001,25.78615364069851,25.78615364069851,mixed_batch
40,"[1435, 1435]",2,2870,2029,1.3821666666666665,1.7518600000000002,26.74737730616185,26.74737730616185,mixed_batch
41,"[352, 352, 352, 352, 352, 352, 352, 352, 352, 352, 352, 352, 352, 352, 352, 352, 352, 352, 352, 352]",20,7040,1574,0.6297666666666668,1.57024,149.33679140422373,149.33679140422373,mixed_batch
42,"[2232, 2232]",2,4464,3156,2.6779333333333333,3.344760000000001,24.900794144738512,24.900794144738512,mixed_batch
43,[8496],1,8496,8496,9.385660000000001,9.385660000000001,0.0,0.0,single_prefill
44,"[963, 963, 963]",3,2889,1667,0.9720666666666666,1.4328800000000004,47.40552774158155,47.40552774158155,mixed_batch
45,[540],1,540,540,0.43318,0.43318,0.0,0.0,single_prefill
46,"[1277, 1277, 1277, 1277]",4,5108,2554,1.6687333333333334,2.6383400000000004,58.10435060524951,58.10435060524951,mixed_batch
47,"[2008, 2008, 2008, 2008]",4,8032,4016,2.963866666666667,3.8939600000000008,31.381078770974856,31.381078770974856,mixed_batch
48,"[1923, 1923, 1923, 1923, 1923]",5,9615,4299,2.685033333333333,4.05856,51.154920485158485,51.154920485158485,mixed_batch
49,[1778],1,1778,1778,1.51626,1.51626,0.0,0.0,single_prefill
50,"[160, 160, 160, 160, 160, 160, 160, 160, 160, 160]",10,1600,505,0.21683333333333335,0.43570000000000003,100.93774019984627,100.93774019984627,mixed_batch
51,"[438, 438, 438, 438, 438, 438, 438]",7,3066,1158,0.6110666666666666,1.1388,86.36264455596772,86.36264455596772,mixed_batch
52,"[981, 981, 981, 981]",4,3924,1962,1.2457,1.9885200000000005,59.630729710203134,59.630729710203134,mixed_batch
53,[4043],1,4043,4043,3.960600000000001,3.960600000000001,0.0,0.0,single_prefill
54,"[864, 864, 864, 864, 864]",5,4320,1931,0.9941666666666669,1.70064,71.06186085498739,71.06186085498739,mixed_batch
55,"[138, 138, 138, 138, 138]",5,690,308,0.18460000000000001,0.32080000000000003,73.78114842903575,73.78114842903575,mixed_batch
56,[2729],1,2729,2729,2.8502800000000006,2.8502800000000006,0.0,0.0,single_prefill
